,customer_lifetime_value,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,total_claim_amount
1802,7840,58414,210,7,24,2,1,1008
1803,22185,60426,62,21,97,0,2,133
1804,30442,64321,253,17,75,0,2,422
1805,4117,86101,102,4,73,0,1,344
1806,4636,26802,66,7,43,1,5,316
1807,2790,53882,69,14,33,0,1,331
1808,5244,27444,66,21,88,0,3,313
1809,2751,86788,70,32,68,0,1,336
1810,8338,70534,104,31,71,0,3,54
1811,7247,23541,62,12,38,0,2,98
1812,5419,73536,67,29,27,0,6,172
1813,20123,46900,70,18,23,0,2,504
1814,12036,44428,104,17,61,0,2,499
1815,7547,31204,102,34,37,0,3,489
1816,2590,25981,65,16,38,0,1,77
1817,10418,27951,91,32,4,0,2,436
1818,3286,60934,82,15,64,0,1,393
1819,10408,20228,101,3,43,1,2,523
1820,10189,75759,101,15,90,0,2,727
1821,13104,15543,130,7,31,0,2,1430
1822,7853,42582,99,1,57,0,5,629
1823,8044,71391,67,29,39,0,2,284
1824,5531,50648,69,27,50,1,9,331
1825,4942,23285,65,30,22,0,7,118
1826,26413,24631,83,25,87,1,2,398
1827,9567,81410,119,8,86,0,7,221
1828,10915,28244,155,9,62,1,8,1116
1829,2459,21190,65,24,68,2,1,312
1830,5317,74092,67,17,72,0,3,321
1831,3095,88246,77,3,27,1,1,428
1832,4250,27608,108,30,89,0,1,308
1833,4362,58842,110,6,74,0,1,528
1834,4369,40774,110,28,59,1,1,394
1835,5015,48567,130,12,15,0,1,624
1836,11121,44299,106,25,76,5,2,754
1837,2487,69236,63,31,83,1,1,110
1838,6842,25259,87,18,8,0,9,417
1839,4167,81023,117,8,64,0,1,94
1840,20936,20309,181,5,12,0,2,1579
1841,5332,68931,66,32,30,0,7,309
1842,9407,31485,118,17,79,0,6,294
1843,5757,88997,72,9,71,0,3,174
1844,8162,66140,101,11,21,0,3,484
1845,4786,23402,61,13,38,2,7,292
1846,2034,60151,62,29,59,2,1,446
1847,4880,24398,63,14,79,1,3,302
1848,5291,57338,66,9,85,0,3,316
1849,13736,16181,181,22,79,0,8,1261
1850,5780,51066,74,23,0,0,8,787
1851,8267,59597,69,6,59,0,2,222
1852,6183,23712,85,2,20,0,3,376
1853,16979,35095,73,25,56,0,2,525
1854,22952,20031,86,4,83,0,2,109
1855,5712,24882,72,13,20,0,8,345
1856,4325,94242,107,15,70,0,1,52
1857,4724,23986,119,31,3,0,1,463
1858,5555,74015,72,12,61,0,6,471
1859,11638,25370,102,10,77,0,2,489
1860,7627,60479,96,1,44,0,3,85
1861,12731,40870,105,3,56,0,2,504
1862,3265,25820,82,10,69,0,1,393
1863,2832,37124,72,4,17,0,1,430
1864,7188,13542,94,5,35,0,8,451
1865,4911,52796,62,6,17,0,3,297
1866,10598,20179,133,29,0,1,5,638
1867,5110,63622,74,34,51,0,4,532
1868,6369,34498,83,30,72,0,7,398
1869,30081,24626,108,19,3,0,2,225
1870,2810,20371,71,19,14,1,1,340
1871,5321,67431,136,28,17,1,1,652
1872,8256,62902,69,14,94,0,2,159
1873,3235,75690,80,17,44,1,1,384
1874,2753,75277,70,2,48,3,1,459
1875,13211,74656,111,0,6,0,2,504
1876,6521,72608,82,26,19,3,8,393
1877,2595,48608,67,18,12,0,1,321
1878,22399,78494,69,21,53,0,2,78
1879,6979,34920,94,13,42,0,8,1131
1880,3649,53547,100,31,80,0,1,480
1881,2203,64147,72,33,6,2,1,518
1882,46770,64403,198,11,86,0,2,111
1883,4369,91775,108,9,35,0,1,256
1884,3788,14830,106,27,89,0,1,763
1885,5838,81082,73,5,85,0,4,281
1886,5320,77524,68,12,95,3,6,64
1887,5106,29894,72,9,69,4,3,16
1888,7212,75891,61,1,5,0,2,61
1889,11833,16552,103,23,53,0,2,494
1890,6013,99567,84,8,30,0,7,604
1891,2582,76731,64,2,68,0,1,201
1892,3740,34206,104,27,13,1,1,499
1893,51426,84650,185,13,39,3,2,660
1894,4807,31487,69,4,69,0,9,496
1895,14808,41440,62,20,80,1,2,297
1896,3591,28013,91,16,13,0,1,655
1897,8826,26320,111,3,92,0,9,603
1898,2254,48978,65,7,95,0,1,768
1899,7731,37386,97,1,4,0,3,465
1900,4458,17622,65,1,36,1,3,312
1901,5794,70524,73,18,5,0,4,350
1902,2468,65876,63,1,52,1,1,44
1903,3874,26670,98,23,13,0,1,541
1904,11790,25251,66,13,43,0,2,316
1905,12174,88184,104,5,97,3,2,240
1906,2413,16705,68,6,35,0,1,379
1907,8427,20662,72,10,99,0,2,373
1908,9445,76837,78,2,12,0,2,23
1909,9656,29504,125,16,29,0,9,1224
1910,6696,57240,83,18,79,0,7,83
1911,3112,33046,79,14,26,0,1,181
1912,13144,11032,194,23,34,0,7,931
1913,3445,93487,94,33,95,0,1,590
1914,2735,99205,68,7,21,0,1,323
1915,2195,39302,62,30,29,1,1,446
1916,8923,21008,125,22,80,0,9,900
1917,6342,86687,80,4,82,0,3,274
1918,5687,99747,72,28,87,0,5,61
1919,8061,57293,102,19,87,0,7,347
1920,7506,12363,67,16,12,1,2,321
1921,7366,30250,93,1,98,0,6,398
1922,2855,99612,70,14,20,0,1,336
1923,2866,26924,73,12,80,0,1,262
1924,2430,99604,70,29,30,0,1,341
1925,7308,31115,92,21,20,0,3,441
1926,4808,23554,61,12,17,0,6,142
1927,5527,13104,72,4,72,0,7,345
1928,5375,66844,70,11,80,4,5,104
1929,8935,63326,225,5,99,0,1,1080
1930,5548,67798,69,1,78,0,9,331
1931,3107,42136,88,1,66,0,1,87
1932,5396,62039,68,8,30,1,8,265
1933,2189,19329,61,5,46,3,1,292
1934,4929,25632,63,27,52,0,7,351
1935,12622,61844,106,19,74,0,2,508
1936,3954,18375,103,8,50,0,1,535
1937,5597,37995,139,16,50,0,1,667
1938,2477,44280,62,25,3,0,1,130
1939,6637,56174,92,4,83,2,3,662
1940,9416,13411,127,27,81,0,7,609
1941,8434,27694,108,3,3,0,7,741
1942,12663,72109,105,18,34,0,2,504
1943,2600,72766,65,23,93,0,1,91
1944,2396,73512,66,4,71,0,1,433
1945,3703,71530,109,22,5,0,1,784
1946,8622,97361,73,6,85,0,2,350
1947,5914,50217,74,18,2,0,9,355
1948,22940,52993,64,16,86,0,2,304
1949,18211,53690,154,20,97,0,2,739
1950,4746,15169,63,34,15,0,3,302
1951,17223,22346,64,7,44,0,2,307
1952,4029,93621,100,16,20,0,1,59
1953,4221,48404,62,12,68,0,3,614
1954,4132,68489,63,4,55,1,3,453
1955,15363,15897,101,30,99,0,2,303
1956,2668,52344,66,4,7,0,1,182
1957,7575,17401,109,30,87,0,4,784
1958,21151,48642,77,23,69,0,2,92
1959,3107,68705,94,34,59,4,1,451
1960,4561,29327,118,26,21,0,1,627
1961,8382,19683,117,17,41,1,9,561
1962,9277,97729,115,4,48,1,7,221
1963,5461,42650,69,10,92,0,5,35
1964,8819,99845,110,23,25,1,8,528
1965,10442,30786,90,3,5,0,2,28
1966,7430,61568,93,3,36,0,3,240
1967,9227,20852,129,15,42,0,3,619
1968,5479,56005,68,31,30,1,3,326
1969,2781,56218,72,17,74,2,1,302
1970,3974,91183,117,9,78,0,1,561
1971,7582,64801,64,23,19,0,2,268
1972,4652,80445,64,5,18,1,6,307
1973,7185,63741,91,25,15,0,6,36
1974,13917,67267,89,31,10,0,2,94
1975,23228,53243,102,15,96,0,2,489
1976,9035,34337,113,20,44,0,9,542
1977,8509,26057,74,3,63,0,2,523
1978,2978,64586,76,3,17,0,1,206
1979,26197,18495,113,10,15,0,2,542
1980,5126,33169,128,33,14,0,1,614
1981,3210,47940,88,3,8,0,1,325
1982,3528,31278,92,24,95,4,1,441
1983,4855,24149,61,15,10,0,3,292
1984,8090,86180,69,11,43,4,2,48
1985,9372,40675,126,19,17,0,4,604
1986,2004,16361,66,16,35,4,1,316
1987,6262,30110,159,20,71,0,1,466
1988,3942,65404,99,12,79,0,1,300
1989,10346,55906,86,26,3,0,2,58
1990,13770,59207,116,23,21,0,2,556
1991,25401,36800,91,20,18,0,2,236
1992,3274,31686,81,11,33,0,1,430
1993,8427,46503,215,4,21,1,1,1032
1994,2004,95512,66,6,35,0,1,316
1995,2593,43626,67,9,80,0,1,321
1996,5319,37331,134,26,7,0,1,898
1997,2533,84592,71,11,77,0,1,517
1998,9002,76184,111,23,19,0,3,532
1999,9118,33882,114,22,39,0,6,272
2000,6010,49311,74,25,85,0,3,355
2001,3261,85393,93,29,63,0,1,669
2002,2317,72399,68,10,81,0,1,489
2003,10018,30720,139,30,24,0,5,778
2004,6554,25222,90,28,69,0,3,475
2005,16473,22828,106,11,54,0,2,508
2006,3317,74142,83,24,60,0,1,398
2007,15435,84581,96,25,50,0,2,4
2008,3115,54420,80,27,0,0,1,576
2009,5846,85956,145,0,85,0,1,510
2010,4889,46819,62,7,0,0,5,157
2011,5260,60101,66,34,74,0,3,1
2012,4118,69379,103,14,79,0,1,494
2013,2588,60024,74,7,63,0,1,851
2014,5532,59768,71,6,93,1,3,340
2015,7985,52339,70,7,55,3,2,336
2016,6273,18577,86,21,76,0,6,412
2017,4838,73769,61,24,95,2,3,239
2018,7996,93459,99,9,85,0,5,655
2019,11009,51643,283,16,43,0,1,1358
2020,13055,58684,162,4,77,0,9,1166
2021,5792,87382,72,26,65,0,5,345
2022,2538,18608,71,13,24,0,1,340
2023,15485,72026,191,22,72,0,6,554
2024,7805,21073,106,25,54,1,3,508
2025,6086,13688,84,25,2,0,8,403
2026,6796,17937,65,22,27,0,2,312
2027,5507,11343,72,14,78,0,8,154
2028,7715,48784,96,28,86,0,3,252
2029,7915,31383,99,24,72,0,6,475
2030,7100,31670,179,33,3,0,1,1288
2031,10242,93759,150,32,20,0,8,1080
2032,2382,56735,65,24,47,0,1,27
2033,2999,28564,76,17,44,0,1,364
2034,3644,82477,90,1,69,0,1,432
2035,5714,74905,72,16,35,0,3,167
2036,5761,83392,71,30,80,0,3,125
2037,5272,96668,66,2,95,0,3,316
2038,5111,20594,72,6,13,2,7,594
2039,3420,11652,89,23,13,0,1,526
2040,3319,69152,89,8,83,4,1,221
2041,9006,25133,86,19,99,1,2,412
2042,4428,58577,110,6,62,0,1,303
2043,20842,72823,72,14,29,0,2,709
2044,5677,53078,73,1,10,0,5,764
2045,4050,88454,101,8,89,0,1,308
2046,13776,62634,116,10,89,0,2,122
2047,16477,57264,84,0,30,1,2,129
2048,5390,70705,69,31,61,2,6,272
2049,2750,34200,70,27,15,0,1,167
2050,2482,26100,67,6,29,0,1,482
2051,4999,49414,68,8,82,5,6,159
2052,7919,82877,99,8,89,1,3,22
2053,2928,63127,74,35,17,1,1,174
2054,17006,58620,71,11,51,0,2,340
2055,40132,98710,123,21,42,0,2,587
2056,9095,37937,116,11,42,0,5,556
2057,12887,48767,108,18,38,0,2,566
2058,9112,16145,90,21,21,0,2,432
2059,3008,40189,87,2,55,0,1,401
2060,2676,43290,71,17,6,0,1,340
2061,15306,83868,189,30,91,0,7,134
2062,4328,24711,62,15,11,0,6,362
2063,2688,50719,68,10,28,0,1,394
2064,9816,37256,62,15,7,0,2,128
2065,3527,59496,88,22,64,0,1,189
2066,3993,17672,110,28,16,0,1,792
2067,8031,40082,69,6,18,0,2,331
2068,5266,93348,65,23,50,0,8,108
2069,7191,64253,67,9,54,0,2,308
2070,2453,52979,70,5,70,2,1,449
2071,6054,17200,83,5,62,4,8,48
2072,2956,40901,74,2,36,0,1,13
2073,2489,31058,67,5,19,5,1,309
2074,2829,25860,72,21,46,0,1,345
2075,8161,32967,105,16,70,1,4,504
2076,3000,77041,74,11,61,0,1,475
2077,10083,11828,90,18,84,0,2,571
2078,2939,53357,73,4,77,0,1,55
2079,4447,13128,118,4,21,0,1,771
2080,7628,40201,77,17,65,0,2,369
2081,3731,17848,96,31,34,0,1,460
2082,14663,91015,73,31,30,1,2,119
2083,4898,33938,64,21,76,0,7,63
2084,8162,66140,101,11,21,0,3,484
2085,10834,34612,91,8,77,1,2,655
2086,4068,88318,63,3,35,4,4,753
2087,4770,12964,65,2,37,0,4,362
2088,5356,60752,67,4,19,0,7,414
2089,4739,49447,119,9,48,2,1,762
2090,8571,56202,107,19,33,0,8,513
2091,13167,54684,111,13,15,3,2,302
2092,9321,14613,64,26,99,0,2,572
2093,2771,60975,79,6,55,0,1,379
2094,9298,22094,79,2,34,1,2,460
2095,2369,40351,65,8,91,0,1,468
2096,7614,35045,96,21,47,0,5,420
2097,37111,61552,115,1,95,0,2,12
2098,20474,95621,66,7,90,5,2,351
2099,10033,47707,146,5,84,0,3,1404
2100,4305,31071,111,0,57,2,1,215
2101,6047,20396,76,15,60,1,4,364
2102,3280,63297,82,1,33,0,1,251
2103,4470,67085,129,2,72,0,1,928
2104,3645,19121,95,1,18,0,1,915
2105,4376,63774,111,18,63,0,1,60
2106,2854,71126,71,11,72,0,1,324
2107,2574,43846,65,16,33,1,1,125
2108,20552,86731,187,22,97,1,2,1430
2109,6091,65252,78,27,75,0,9,482
2110,21592,51204,181,28,23,0,2,929
2111,22325,99241,70,22,27,0,2,48
2112,2336,51354,67,21,28,0,1,458
2113,8467,16370,74,4,54,0,2,296
2114,11619,78275,72,12,36,0,2,25
2115,10963,55687,276,33,91,0,1,1324
2116,10357,52735,65,21,19,0,2,123
2117,2698,95399,68,1,36,1,1,78
2118,26197,18495,113,10,15,0,2,542
2119,5332,74837,66,9,18,0,7,376
2120,5878,25398,74,23,2,0,3,465
2121,8456,25141,73,12,4,1,2,25
2122,14194,88178,70,32,78,0,2,336
2123,15808,86347,130,17,93,0,2,593
2124,2279,23253,61,20,49,0,1,292
2125,4904,27593,63,31,78,0,6,241
2126,2827,15769,79,14,25,0,1,568
2127,3746,41479,94,14,38,1,1,19
2128,2606,60520,71,10,22,0,1,409
2129,9065,40006,114,34,18,1,7,132
2130,4490,38538,64,26,11,1,7,307
2131,20096,92766,71,17,15,0,2,379
2132,6919,68693,69,23,85,1,2,40
2133,7519,96306,95,12,17,1,6,185
2134,5264,14306,74,31,22,3,7,355
2135,2823,24350,73,6,89,3,1,350
2136,17250,22276,111,19,73,1,2,783
2137,3554,58557,88,4,83,0,1,55
2138,20370,80842,73,0,21,1,2,525
2139,6503,22081,84,1,9,0,6,451
2140,18361,75763,182,3,56,0,2,1310
2141,25755,90803,81,3,60,2,2,388
2142,8099,25452,107,20,60,0,3,954
2143,7610,51878,66,10,16,1,2,316
2144,3436,30817,88,25,43,0,1,91
2145,4135,44246,112,16,62,0,1,707
2146,5301,20269,66,24,79,0,3,475
2147,5703,41438,72,8,39,0,9,323
2148,15672,65219,139,4,35,0,2,667
2149,9918,37586,63,29,90,0,2,153
2150,9354,36933,135,24,67,0,8,972
2151,12298,17101,113,1,88,0,2,542
2152,3136,59644,79,15,94,0,1,379
2153,12731,40870,105,3,56,0,2,504
2154,11413,20760,161,3,71,1,9,772
2155,5800,69517,78,16,93,0,6,374
2156,15700,22460,211,31,52,0,5,1012
2157,6672,50537,165,10,35,0,1,60
2158,5757,88997,72,9,71,0,3,174
2159,8421,95139,103,25,27,0,6,34
2160,8025,76054,77,20,26,0,2,25
2161,5310,74848,72,17,11,1,3,345
2162,16272,83589,103,27,65,0,2,366
2163,15245,30205,195,24,1,0,4,1329
2164,3991,54964,99,13,53,0,1,525
2165,8236,27168,106,11,15,0,6,603
2166,21034,26876,66,12,53,0,2,219
2167,13466,11432,119,1,9,2,2,571
2168,3092,31168,78,14,42,0,1,289
2169,4839,81264,137,18,50,0,1,1227
2170,8539,55478,71,10,1,0,2,339
2171,4735,11242,134,22,68,0,1,964
2172,14203,55593,182,10,48,1,9,677
2173,2609,30825,68,15,21,0,1,326
2174,4475,97949,112,9,13,3,1,324
2175,3020,78561,74,7,50,0,1,355
2176,7899,40032,99,18,35,0,8,475
2177,32098,31503,105,13,74,0,2,504
2178,4282,40864,109,16,70,1,1,166
2179,4938,82733,62,5,12,0,9,72
2180,4228,64866,63,2,82,2,8,302
2181,2808,55005,70,7,39,0,1,336
2182,5936,19003,84,5,25,0,3,980
2183,5020,67890,63,23,26,0,3,174
2184,6758,66222,191,22,38,0,1,2042
2185,4330,59680,61,30,35,0,3,292
2186,4815,79032,66,29,58,0,8,711
2187,11885,12190,105,7,20,0,2,756
2188,5597,37995,139,16,50,0,1,667
2189,3540,33877,101,24,11,0,1,727
2190,5704,37675,71,13,80,0,3,380
2191,15806,58516,98,14,75,0,2,470
2192,2936,27179,74,32,69,0,1,355
2193,3731,42869,96,31,34,0,1,460
2194,8336,81476,67,10,50,2,2,445
2195,2491,25965,65,23,27,0,1,329
2196,4540,59556,113,11,86,0,1,681
2197,4433,50653,110,9,42,1,1,262
2198,4892,27005,61,10,72,0,7,311
2199,4170,29462,107,28,23,1,1,513
2200,2600,51978,66,18,81,0,1,144
2201,3644,82477,90,1,69,0,1,432
2202,14723,38401,92,15,62,0,2,441
2203,18929,72196,68,8,61,0,2,152
2204,4171,37478,105,4,53,0,1,653
2205,7687,55133,109,0,5,0,3,523
2206,2582,76731,64,2,68,0,1,201
2207,4996,71600,63,17,43,0,7,46
2208,11981,21514,62,0,59,0,2,257
2209,22445,80340,71,32,35,0,2,511
2210,13815,96745,179,14,25,5,3,859
2211,8392,76073,111,6,51,0,4,617
2212,3808,94903,94,3,38,0,1,451
2213,3834,41341,99,3,64,0,1,240
2214,8991,73817,127,8,25,4,4,1176
2215,5488,33881,68,11,83,0,9,65
2216,5932,48278,74,22,7,0,4,98
2217,5438,52721,136,34,29,0,1,550
2218,12472,36551,107,12,25,0,2,53
2219,5272,85607,66,27,1,0,3,67
2220,2994,55911,74,7,40,0,1,187
2221,5079,50052,130,6,50,0,1,624
2222,4414,22409,61,23,46,0,7,643
2223,9521,74583,118,31,20,0,4,161
2224,3312,26285,84,7,1,0,1,403
2225,19834,65989,123,4,43,1,2,115
2226,6332,50843,82,12,65,0,3,393
2227,3528,31278,92,24,95,4,1,441
2228,19363,49945,70,21,65,0,2,50
2229,17557,68273,146,23,93,0,2,76
2230,6529,13476,67,3,30,2,2,433
2231,12663,72109,105,31,34,0,2,504
2232,6438,19831,83,8,88,0,7,398
2233,8791,54094,112,9,51,0,4,502
2234,3096,21604,79,14,28,0,1,379
2235,4625,66670,114,23,6,0,1,518
2236,6273,18577,86,21,76,0,6,412
2237,2464,72834,65,12,81,3,1,91
2238,4334,46675,116,6,87,0,1,1065
2239,2052,90915,67,33,21,2,1,806
2240,2509,33555,63,17,11,0,1,101
2241,23228,53243,102,26,96,3,2,489
2242,5351,54817,137,24,28,0,1,209
2243,8006,63762,99,13,55,0,4,108
2244,12731,40870,105,3,56,0,2,504
2245,9747,75712,92,7,89,0,2,514
2246,2778,73570,70,0,46,1,1,75
2247,2499,28264,63,22,9,0,1,364
2248,11490,45621,161,0,94,0,3,1052
2249,8668,21474,114,13,72,2,9,373
2250,8888,58789,111,4,69,0,3,215
2251,9685,66022,239,17,80,0,1,538
2252,4784,25813,61,16,97,0,8,205
2253,5037,81853,68,28,23,1,9,326
2254,7457,43406,187,6,49,0,1,897
2255,2498,76792,62,12,27,0,1,297
2256,10876,71255,138,28,16,0,4,138
2257,3683,59419,101,19,16,0,1,564
2258,4482,62977,115,34,40,0,1,552
2259,5090,25226,71,13,97,1,4,340
2260,8708,30090,73,10,3,0,2,329
2261,2802,34628,71,21,31,0,1,132
2262,13530,75037,85,5,27,2,2,180
2263,4151,86786,125,23,64,0,1,900
2264,8703,61897,72,7,79,0,2,3
2265,15362,48115,192,13,67,1,5,1382
2266,6057,27681,83,13,62,0,9,398
2267,2518,39317,64,22,46,0,1,77
2268,8548,53055,112,30,30,2,3,537
2269,4383,32031,123,14,97,0,1,1480
2270,9057,91025,112,26,37,0,9,327
2271,3546,17293,103,11,92,0,1,621
2272,4810,24711,122,31,93,0,1,259
2273,5639,73168,70,21,50,0,3,425
2274,8827,59318,123,35,38,1,3,1088
2275,5638,20920,74,19,14,0,4,14
2276,7583,81568,186,0,73,0,1,737
2277,5107,35625,65,10,56,1,3,288
2278,5380,19274,73,11,95,0,3,350
2279,5133,38795,65,23,64,0,3,98
2280,4651,98475,115,8,22,0,1,552
2281,12741,73054,106,34,36,1,2,419
2282,5015,48567,130,12,15,0,1,624
2283,20096,92766,71,17,15,0,2,379
2284,8058,25595,101,5,86,0,9,484
2285,11228,79731,64,1,63,0,2,772
2286,3861,93272,95,3,54,0,1,281
2287,2537,92401,64,30,37,0,1,50
2288,28432,17130,198,1,58,0,2,950
2289,4359,91297,64,17,84,0,9,307
2290,2274,15684,63,2,5,0,1,606
2291,4005,28987,102,8,98,0,1,245
2292,5316,28559,66,5,1,0,5,427
2293,4755,23975,128,8,39,0,1,614
2294,4157,45926,110,4,61,0,1,528
2295,5555,51705,139,26,79,0,1,545
2296,8744,61706,110,6,71,0,7,223
2297,2895,46267,72,4,73,0,1,231
2298,16553,98912,135,18,92,0,2,714
2299,4715,39163,126,13,91,0,1,694
2300,18042,35704,225,21,35,0,8,358
2301,13258,20754,184,19,15,0,7,1324
2302,5377,34528,69,22,0,2,7,183
2303,14651,74915,122,13,17,0,2,393
2304,4960,21638,65,9,81,0,8,468
2305,4756,56146,119,0,91,0,1,401
2306,2864,91368,71,13,95,0,1,395
2307,5659,52389,72,29,8,1,9,345
2308,8510,26032,109,18,25,0,3,638
2309,2453,29735,69,3,92,0,1,331
2310,3362,22853,87,16,89,0,1,316
2311,4335,30574,114,19,10,1,1,396
2312,3561,50327,105,3,30,0,1,504
2313,5935,90263,74,17,36,0,8,355
2314,11638,25370,102,10,77,0,2,489
2315,14628,63936,189,4,29,0,5,765
2316,7496,61091,95,0,64,0,8,409
2317,6393,37740,66,4,6,2,2,316
2318,4031,88728,63,7,59,0,3,639
2319,5284,37640,67,25,74,0,4,174
2320,6698,21114,180,7,59,0,1,864
2321,2698,88867,69,6,2,1,1,331
2322,5682,36938,70,32,31,0,3,244
2323,5008,33902,73,12,0,0,8,350
2324,2851,55274,71,14,35,0,1,484
2325,4904,12902,139,3,51,0,1,667
2326,3508,20978,98,19,96,1,1,1176
2327,2725,39161,71,8,84,3,1,340
2328,3193,52653,81,9,42,1,1,230
2329,2989,79867,74,25,76,1,1,78
2330,4980,53265,62,12,27,0,3,238
2331,4774,10475,73,1,31,0,3,525
2332,7758,96162,97,9,91,0,4,376
2333,8189,72191,68,19,48,0,2,209
2334,4270,56684,122,27,2,0,1,725
2335,2429,26736,63,6,64,0,1,367
2336,2489,75474,62,12,7,0,1,297
2337,10808,31063,92,20,19,0,2,441
2338,4836,23509,140,15,87,0,1,672
2339,12487,31283,104,18,3,0,2,499
2340,8901,76558,74,2,45,0,2,216
2341,8409,53986,70,22,37,1,2,127
2342,13727,84014,126,12,4,0,2,604
2343,6652,34886,84,3,40,0,5,403
2344,3509,51800,92,29,12,0,1,299
2345,5010,64014,63,26,27,0,7,295
2346,7442,57517,96,14,61,0,8,460
2347,15656,71731,130,12,50,0,2,599
2348,2485,77301,70,24,58,0,1,504
2349,8972,89689,74,14,4,0,2,136
2350,5619,76787,153,25,5,0,1,1027
2351,25581,27961,72,17,64,0,2,345
2352,5451,55898,69,35,87,0,6,441
2353,6333,71737,79,7,79,0,4,338
2354,6993,14630,65,29,35,2,2,468
2355,8696,56550,73,22,41,3,2,162
2356,8531,98677,105,3,40,0,9,108
2357,8311,57496,72,22,79,0,2,311
2358,5366,82452,70,5,29,0,4,223
2359,8901,22356,136,14,69,1,8,1090
2360,2530,89451,63,25,2,0,1,61
2361,4671,82911,66,7,66,0,9,475
2362,8263,59050,79,11,45,1,2,46
2363,3142,43285,83,35,77,0,1,265
2364,4786,45515,61,14,33,0,9,236
2365,13561,29095,91,29,47,1,2,280
2366,3798,58903,107,34,70,1,1,1261
2367,9538,48000,85,7,6,0,2,58
2368,7894,21723,104,31,6,0,8,748
2369,2860,51159,72,4,61,0,1,4
2370,4506,15462,115,34,18,0,1,611
2371,2150,17389,63,8,83,0,1,453
2372,2413,27501,63,20,0,0,1,542
2373,2556,23867,65,6,99,0,1,312
2374,7613,25944,70,20,34,0,2,336
2375,4897,24383,69,4,78,2,4,331
2376,5331,60986,67,30,32,0,5,417
2377,11905,89416,115,19,39,0,2,840
2378,9118,56446,114,2,8,0,3,547
2379,10899,58518,136,17,9,0,3,323
2380,15641,32370,130,31,84,0,2,487
2381,2481,77993,62,26,10,0,1,297
2382,7919,70116,70,13,18,0,2,336
2383,4506,14985,116,12,45,0,1,571
2384,16301,19614,85,21,32,0,2,574
2385,19957,17977,187,1,7,0,2,1346
2386,7462,70263,93,30,66,0,5,7
2387,4742,78596,118,1,70,0,1,133
2388,5107,35625,65,10,56,1,3,288
2389,10382,11721,102,2,56,2,2,560
2390,5528,16042,73,33,58,0,9,350
2391,2503,53338,63,24,35,1,1,35
2392,12904,27778,109,4,14,0,2,523
2393,11681,70930,99,2,21,0,2,190
2394,6005,13528,86,21,35,0,3,412
2395,5018,54500,63,28,17,0,6,302
2396,9404,51593,80,5,91,2,2,202
2397,4754,53599,136,5,46,0,1,652
2398,6915,96610,85,6,23,0,3,520
2399,9294,21370,77,1,35,0,2,105
2400,3871,32400,111,10,75,0,1,799
2401,2938,96765,72,14,61,0,1,216
2402,7545,56881,106,19,67,1,3,631
2403,2425,83731,67,3,42,1,1,426
2404,19483,74300,122,23,38,0,2,354
2405,14333,41459,71,8,4,0,2,340
2406,27382,45473,76,10,29,0,2,188
2407,4365,23566,112,3,43,0,1,537
2408,7659,95701,98,24,8,3,3,99
2409,5386,33716,68,18,67,1,3,349
2410,2089,53315,63,30,6,1,1,453
2411,5241,48345,67,7,1,0,7,212
2412,7623,69900,64,23,68,0,2,33
2413,4533,91967,113,7,74,2,1,156
2414,2722,17576,71,29,70,0,1,398
2415,5054,22241,63,1,1,0,6,343
2416,25464,13663,97,1,66,0,2,465
2417,8257,23815,73,4,47,0,2,424
2418,5923,92163,73,3,79,0,6,66
2419,4882,19715,66,25,11,4,5,475
2420,12846,93210,107,6,9,2,2,513
2421,5414,57452,136,25,10,1,1,652
2422,8329,30865,104,33,31,0,7,21
2423,7430,61568,93,3,36,0,3,240
2424,3713,93308,92,20,56,0,1,441
2425,8798,24550,111,12,6,0,9,536
2426,16728,14574,237,1,29,0,5,1706
2427,2326,26038,62,26,98,0,1,624
2428,2577,74215,64,27,41,0,1,345
2429,6624,83178,62,27,53,0,2,297
2430,5290,27179,66,8,91,0,9,344
2431,11692,40548,98,7,57,0,2,470
2432,4517,25261,118,31,9,0,1,566
2433,13931,37695,118,11,62,0,2,352
2434,15306,83868,189,30,91,0,7,134
2435,7724,32051,193,4,40,1,1,926
2436,4505,67801,115,12,45,1,1,23
2437,14349,73222,180,24,43,0,3,821
2438,4611,44432,61,4,15,0,7,292
2439,2592,72421,65,8,23,0,1,312
2440,2762,72335,69,23,35,0,1,331
2441,4909,98693,61,7,57,0,3,292
2442,8382,19683,117,17,41,1,9,561
2443,7291,84629,90,19,17,0,5,411
2444,21740,30095,136,0,94,0,2,652
2445,13268,32762,112,26,74,0,2,326
2446,24980,88440,70,19,30,0,2,27
2447,4267,43682,107,12,73,0,1,148
2448,6990,22568,88,31,63,0,6,422
2449,5917,26042,169,31,77,0,1,1207
2450,3677,31349,93,10,32,0,1,446
2451,8269,20225,114,27,64,1,6,547
2452,11763,28806,99,35,75,0,2,475
2453,2652,20758,73,2,35,0,1,490
2454,8556,52440,109,27,58,0,3,371
2455,8776,28360,73,8,65,0,2,863
2456,4233,95647,106,11,30,0,1,508
2457,3020,78561,74,24,50,0,1,355
2458,8543,99180,106,15,20,0,3,33
2459,11042,18839,64,14,91,0,2,415
2460,5367,97742,67,33,57,0,5,67
2461,8901,46814,113,7,19,0,3,542
2462,3489,35362,98,29,37,0,1,705
