song,artist,song_lower,song_lower_shorthand
R U Mine?,Arctic Monkeys,r u mine?,r u mine?
Same Damn Life,Seether,same damn life,same damn life
Black Sun,Death Cab For Cutie,black sun,black sun
Nearly Forgot My Broken Heart,Chris Cornell,nearly forgot my broken heart,nearly forgot my broken heart
Amen,Halestorm,amen,amen
The Ghosts Of Beverly Drive,Death Cab For Cutie,the ghosts of beverly drive,the ghosts of beverly drive
I Bet My Life,Imagine Dragons,i bet my life,i bet my life
Jekyll And Hide,Five Finger Death Punch,jekyll and hide,jekyll and hide
Human Race,Three Days Grace,human race,human race
Rollercoaster,Bleachers,rollercoaster,rollercoaster
Bent To Fly,Slash featuring Myles Kennedy & The Conspirators,bent to fly,bent to fly
S.O.B.,Nathaniel Rateliff & The Night Sweats,s.o.b.,sob
I Am The Fire,Halestorm,i am the fire,i am the fire
Cirice,Ghost,cirice,cirice
Lydia,Highly Suspect,lydia,lydia
Dreams,Beck,dreams,dreams
The Wolf,Mumford & Sons,the wolf,the wolf
I Am,AWOLNATION,i am,i am
Crystals,Of Monsters And Men,crystals,crystals
Cecilia & The Satellite,Andrew McMahon In The Wilderness,cecilia & the satellite,cecilia & the satellite
2 Heads,Coleman Hell,2 heads,2 heads
Gravity,Papa Roach,gravity,gravity
Long Way Down,Robert DeLong,long way down,long way down
Could Have Been Me,The Struts,could have been me,could have been me
Mess Is Mine,Vance Joy,mess is mine,mess is mine
Budapest,George Ezra,budapest,budapest
Moving On,Asking Alexandria,moving on,moving on
Stars,Sixx: A.M.,stars,stars
Jenny,Nothing More,jenny,jenny
Nobody Praying For Me,Seether,nobody praying for me,nobody praying for me
Take It Back,The Temperance Movement,take it back,take it back
Different Colors,Walk The Moon,different colors,different colors
Outside,Foo Fighters,outside,outside
Drown,Bring Me The Horizon,drown,drown
Rock Or Bust,AC/DC,rock or bust,rock or bust
Ship To Wreck,Florence + The Machine,ship to wreck,ship to wreck
Deep Six,Marilyn Manson,deep six,deep six
Better Place,Saint Asonia,better place,better place
What Kind Of Man,Florence + The Machine,what kind of man,what kind of man
My Type,Saint Motel,my type,my type
Hold Back The River,James Bay,hold back the river,hold back the river
Mona Lisa Smile,Wolf Alice,mona lisa smile,mona lisa smile
Killpop,Slipknot,killpop,killpop
Molecules,Atlas Genius,molecules,molecules
Sick Like Me,In This Moment,sick like me,sick like me
Mercy,Muse,mercy,mercy
Hallelujah,Panic! At The Disco,hallelujah,hallelujah
Become The Enemy,Like A Storm,become the enemy,become the enemy
This Probably Won't End Well,All That Remains,this probably won't end well,this probably wont end well
Million Miles An Hour,Nickelback,million miles an hour,million miles an hour
What's Next?,Godsmack,what's next?,whats next?
Absolution Calling,Incubus,absolution calling,absolution calling
Mr. MTV,Nothing More,mr. mtv,mr mtv
Thank You,Sevendust,thank you,thank you
Blow,Theory Of A Deadman,blow,blow
Sedona,Houndmouth,sedona,sedona
Dancing On Nails,We Are Harlot,dancing on nails,dancing on nails
Don't Wanna Fight,Alabama Shakes,don't wanna fight,dont wanna fight
Electric Love,BØRNS,electric love,electric love
For You,All That Remains,for you,for you
Faith,Devour The Day,faith,faith
Somebody New,Joywave,somebody new,somebody new
Halo,Starset,halo,halo
I Want Out,Young Guns,i want out,i want out
Carnivore,Starset,carnivore,carnivore
I Won't Give In,Asking Alexandria,i won't give in,i wont give in
Weight Of Love,The Black Keys,weight of love,weight of love
Hush,HellYeah,hush,hush
Shots,Imagine Dragons,shots,shots
Sorry,Meg Myers,sorry,sorry
First Kiss,Kid Rock,first kiss,first kiss
Agora,Bear Hands,agora,agora
Heathens,twenty one pilots,heathens,heathens
The Devil's Bleeding Crown,Volbeat,the devil's bleeding crown,the devils bleeding crown
My Name Is Human,Highly Suspect,my name is human,my name is human
Ride,twenty one pilots,ride,ride
The Sound Of Silence,Disturbed,the sound of silence,the sound of silence
Bang Bang,Green Day,bang bang,bang bang
State Of My Head,Shinedown,state of my head,state of my head
Bored To Death,Blink-182,bored to death,bored to death
Ophelia,The Lumineers,ophelia,ophelia
Waste A Moment,Kings Of Leon,waste a moment,waste a moment
Joyride (Omen),Chevelle,joyride (omen),joyride
Mess Around,Cage The Elephant,mess around,mess around
Dark Necessities,Red Hot Chili Peppers,dark necessities,dark necessities
Way Down We Go,Kaleo,way down we go,way down we go
Spirits,The Strumbellas,spirits,spirits
Adventure Of A Lifetime,Coldplay,adventure of a lifetime,adventure of a lifetime
Trip Switch,Nothing But Thieves,trip switch,trip switch
Take Me Down,The Pretty Reckless,take me down,take me down
Emotionless,Red Sun Rising,emotionless,emotionless
Wash It All Away,Five Finger Death Punch,wash it all away,wash it all away
Mountain At My Gates,Foals,mountain at my gates,mountain at my gates
All We Ever Knew,The Head And The Heart,all we ever knew,all we ever knew
Open Your Eyes,Disturbed,open your eyes,open your eyes
Feel Invincible,Skillet,feel invincible,feel invincible
Hardwired,Metallica,hardwired,hardwired
Good Grief,Bastille,good grief,good grief
Trouble,Cage The Elephant,trouble,trouble
Ways To Get High,Pop Evil,ways to get high,ways to get high
Reapers,Muse,reapers,reapers
In The Dark,3 Doors Down,in the dark,in the dark
Happy Song,Bring Me The Horizon,happy song,happy song
My Nemesis,Five Finger Death Punch,my nemesis,my nemesis
Asking For It,Shinedown,asking for it,asking for it
Seal The Deal,Volbeat,seal the deal,seal the deal
Walking On A Dream,Empire Of The Sun,walking on a dream,walking on a dream
Saint Cecilia,Foo Fighters,saint cecilia,saint cecilia
Take It All,Pop Evil,take it all,take it all
River,Bishop Briggs,river,river
Unsteady,X Ambassadors,unsteady,unsteady
Fire And The Flood,Vance Joy,fire and the flood,fire and the flood
Nightlight,Silversun Pickups,nightlight,nightlight
Here's To Heartaches,Nothing More,here's to heartaches,heres to heartaches
I Apologize,Five Finger Death Punch,i apologize,i apologize
Save Today,Seether,save today,save today
The Stage,Avenged Sevenfold,the stage,the stage
Rotting In Vain,Korn,rotting in vain,rotting in vain
Prophets Of Rage,Prophets Of Rage,prophets of rage,prophets of rage
From The Pinnacle To The Pit,Ghost,from the pinnacle to the pit,from the pinnacle to the pit
Rise,Sixx: A.M.,rise,rise
Welcome To Your Life,Grouplove,welcome to your life,welcome to your life
HandClap,Fitz & The Tantrums,handclap,handclap
Bloodfeather,Highly Suspect,bloodfeather,bloodfeather
Moth Into Flame,Metallica,moth into flame,moth into flame
Through It All,From Ashes To New,through it all,through it all
Genghis Khan,Miike Snow,genghis khan,genghis khan
You Don't Get Me High Anymore,Phantogram,you don't get me high anymore,you dont get me high anymore
Still Alive,3 Doors Down,still alive,still alive
Fallen Angel,Three Days Grace,fallen angel,fallen angel
Woman Woman,AWOLNATION,woman woman,woman woman
Mayhem,Halestorm,mayhem,mayhem
Falling Apart,Papa Roach,falling apart,falling apart
Kiss This,The Struts,kiss this,kiss this
Paranoia,A Day To Remember,paranoia,paranoia
Phantom Bride,Deftones,phantom bride,phantom bride
Prayers/Triangles,Deftones,prayers/triangles,prayers/triangles
Roots,Imagine Dragons,roots,roots
No Good,Kaleo,no good,no good
Something To Believe In,Young The Giant,something to believe in,something to believe in
Take It From Me,KONGOS,take it from me,take it from me
Until The World Goes Cold,Trivium,until the world goes cold,until the world goes cold
I Don't Care Anymore,Hellyeah,i don't care anymore,i dont care anymore
Wow,Beck,wow,wow
Switchblade,Holy White Hounds,switchblade,switchblade
Sure And Certain,Jimmy Eat World,sure and certain,sure and certain
Let Me Live My Life,Saint Asonia,let me live my life,let me live my life
Black Honey,Thrice,black honey,black honey
Here I Am,Asking Alexandria,here i am,here i am
Soundcheck,Catfish And The Bottlemen,soundcheck,soundcheck
Thank God For Girls,Weezer,thank god for girls,thank god for girls
In Chains,Shaman's Harvest,in chains,in chains
2:00 AM,Bear Hands,2:00 am,2:00 am
Prayers For The Damned,Sixx: A.M.,prayers for the damned,prayers for the damned
Naivety,A Day To Remember,naivety,naivety
11:11,Dinosaur Pile-Up,11:11,11:11
Magnets,Disclosure FT. Lorde,magnets,magnets
Stick To Your Guns,Sick Puppies,stick to your guns,stick to your guns
Bad Reputation,Adelitas Way,bad reputation,bad reputation
Life Itself,Glass Animals,life itself,life itself
Move,Saint Motel,move,move
In The Age Of The Consecrated Vampire We All Get High,Rob Zombie,in the age of the consecrated vampire we all get high,in the age of the consecrated vampire we all get high
Ditmas,Mumford & Sons,ditmas,ditmas
High Dive,Andrew McMahon In The Wilderness,high dive,high dive
Show Me A Leader,Alter Bridge,show me a leader,show me a leader
The Eagle Has Landed,Avatar,the eagle has landed,the eagle has landed
That's All I Need,The Dirty Heads,that's all i need,thats all i need
Brazil,Declan McKenna,brazil,brazil
Circadian Rhythm (Last Dance),Silversun Pickups,circadian rhythm (last dance),circadian rhythm
Gone,JR JR,gone,gone
Sleeping Dogs,Zakk Wylde featuring Corey Taylor,sleeping dogs,sleeping dogs
King Of The World,Weezer,king of the world,king of the world
Feel It Still,Portugal. The Man,feel it still,feel it still
Believer,Imagine Dragons,believer,believer
Thunder,Imagine Dragons,thunder,thunder
Something Just Like This,The Chainsmokers featuring Coldplay,something just like this,something just like this
Heathens,twenty one pilots,heathens,heathens
Wish I Knew You,The Revivalists,wish i knew you,wish i knew you
Heavy,Linkin Park featuring Kiiara,heavy,heavy
Feels Like Summer,Weezer,feels like summer,feels like summer
Human,Rag’n’Bone Man,human,human
The Man,The Killers,the man,the man
High,Sir Sly,high,high
Whatever It Takes,Imagine Dragons,whatever it takes,whatever it takes
Broken,lovelytheband,broken,broken
Suit And Jacket,Judah and The Lion,suit and jacket,suit and jacket
Down,Marian Hill,down,down
Angela,The Lumineers,angela,angela
Run,Foo Fighters,run,run
Green Light,Lorde,green light,green light
Ride,twenty one pilots,ride,ride
Walk On Water,30 Seconds to Mars,walk on water,walk on water
The Night We Met,Lord Huron,the night we met,the night we met
The Sky Is A Neighborhood,Foo Fighters,the sky is a neighborhood,the sky is a neighborhood
Love Is Mystical,Cold War Kids,love is mystical,love is mystical
No Roots,Alice Merton,no roots,no roots
Sit Next To Me,Foster the People,sit next to me,sit next to me
Blame,Bastille,blame,blame
Hard Times,Paramore,hard times,hard times
Sucker For Pain,"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors",sucker for pain,sucker for pain
Lights Out,Royal Blood,lights out,lights out
Numb,Linkin Park,numb,numb
Everything Now,Arcade Fire,everything now,everything now
Dig Down,Muse,dig down,dig down
Heavydirtysoul,twenty one pilots,heavydirtysoul,heavydirtysoul
Rx (Medicate),Theory of a Deadman,rx (medicate),rx
Take It All Back,Judah & The Lion,take it all back,take it all back
Unsteady,X Ambassadors,unsteady,unsteady
Still Breathing,Green Day,still breathing,still breathing
Cold Cold Cold,Cage the Elephant,cold cold cold,cold cold cold
The Violence,Rise Against,the violence,the violence
HandClap,Fitz And The Tantrums,handclap,handclap
I Only Lie When I Love You,Royal Blood,i only lie when i love you,i only lie when i love you
The Way You Used To Do,Queens of the Stone Age,the way you used to do,the way you used to do
Way Down We Go,Kaleo,way down we go,way down we go
Up All Night,Beck,up all night,up all night
In The End,Linkin Park,in the end,in the end
One More Light,Linkin Park,one more light,one more light
Reverend,Kings of Leon,reverend,reverend
Middle Fingers,Missio,middle fingers,middle fingers
Cleopatra,The Lumineers,cleopatra,cleopatra
Little One,Highly Suspect,little one,little one
Lay It All On Me,Vance Joy,lay it all on me,lay it all on me
Lust For Life,Lana Del Rey featuring The Weeknd,lust for life,lust for life
Don’t Take The Money,Bleachers,don’t take the money,don’t take the money
Vacation,The Dirty Heads,vacation,vacation
Help,Papa Roach,help,help
Waste A Moment,Kings Of Leon,waste a moment,waste a moment
Old Church Choir,Zach Williams,old church choir,old church choir
One Foot,Walk the Moon,one foot,one foot
Fire Escape,Andrew McMahon In The Wilderness,fire escape,fire escape
Champion,Fall Out Boy,champion,champion
Whole Wide World,Cage the Elephant,whole wide world,whole wide world
Sober Up,AJR,sober up,sober up
Ahead Of Myself,X Ambassadors,ahead of myself,ahead of myself
In Cold Blood,alt-J,in cold blood,in cold blood
Don't Take The Money,Bleachers,don't take the money,dont take the money
Highway Tune,Greta Van Fleet,highway tune,highway tune
One Of Us,New Politics,one of us,one of us
Somebody Else,The 1975,somebody else,somebody else
Song #3,Stone Sour,song #3,song #3
Let You Down,Seether,let you down,let you down
Live In The Moment,Portugal. The Man,live in the moment,live in the moment
Lay It On Me,Vance Joy,lay it on me,lay it on me
On Hold,The xx,on hold,on hold
Love,Lana Del Rey,love,love
My Name Is Human,Highly Suspect,my name is human,my name is human
Darling,Real Estate,darling,darling
Love On The Weekend,John Mayer,love on the weekend,love on the weekend
Hymn For The Weekend,Coldplay featuring Beyoncé,hymn for the weekend,hymn for the weekend
Nimble Bastard,Incubus,nimble bastard,nimble bastard
So Tied Up,Cold War Kids featuring Bishop Briggs,so tied up,so tied up
Ophelia,The Lumineers,ophelia,ophelia
Go Robot,Red Hot Chili Peppers,go robot,go robot
Chain Breaker,Zach Williams,chain breaker,chain breaker
Big Boys,Chuck Berry,big boys,big boys
One Night Only,The Struts,one night only,one night only
Revolution Radio,Green Day,revolution radio,revolution radio
Perfect Places,Lorde,perfect places,perfect places
Sweet Disaster,Dreamers,sweet disaster,sweet disaster
What I've Done,Linkin Park,what i've done,what ive done
Less Than,Nine Inch Nails,less than,less than
Passion,Awolnation,passion,passion
Hot Thoughts,Spoon,hot thoughts,hot thoughts
All The Pretty Girls,Kaleo,all the pretty girls,all the pretty girls
In The Blood,John Mayer,in the blood,in the blood
Crawling,Linkin Park,crawling,crawling
Run For Cover,The Killers,run for cover,run for cover
Alone,I Prevail,alone,alone
Wild Horses,Bishop Briggs,wild horses,wild horses
Best Friend,"Sofi Tukker featuring NERVO, The Knocks, & Alisa Ueno",best friend,best friend
World Gone Mad,Bastille,world gone mad,world gone mad
Broken,lovelytheband,broken,broken
Happier,Marshmello & Bastille,happier,happier
Thunder,Imagine Dragons,thunder,thunder
Natural,Imagine Dragons,natural,natural
High Hopes,Panic! at the Disco,high hopes,high hopes
Sit Next To Me,Foster The People,sit next to me,sit next to me
Whatever It Takes,Imagine Dragons,whatever it takes,whatever it takes
Feel It Still,Portugal. The Man,feel it still,feel it still
Say Amen (Saturday Night),Panic! at the Disco,say amen (saturday night),say amen
Africa,Weezer,africa,africa
Jumpsuit,twenty one pilots,jumpsuit,jumpsuit
Zombie,Bad Wolves,zombie,zombie
Believer,Imagine Dragons,believer,believer
Burn The House Down,AJR,burn the house down,burn the house down
Thought Contagion,Muse,thought contagion,thought contagion
One Foot,Walk The Moon,one foot,one foot
Live In The Moment,Portugal. The Man,live in the moment,live in the moment
My Blood,twenty one pilots,my blood,my blood
Guiding Light,Mumford & Sons,guiding light,guiding light
&Run,Sir Sly,&run,&run
No Roots,Alice Merton,no roots,no roots
Bulletproof,Godsmack,bulletproof,bulletproof
Give Yourself A Try,The 1975,give yourself a try,give yourself a try
Dangerous Night,30 Seconds To Mars,dangerous night,dangerous night
Love It If We Made It,The 1975,love it if we made it,love it if we made it
I Feel Like I'm Drowning,Two Feet,i feel like i'm drowning,i feel like im drowning
Are You Ready,Disturbed,are you ready,are you ready
You Worry Me,Nathaniel Rateliff and The Night Sweats,you worry me,you worry me
Rats,Ghost,rats,rats
S.O.S. (Sawed Off Shotgun),The Glorious Sons,s.o.s. (sawed off shotgun),sos
Devil,Shinedown,devil,devil
Kamikaze,Walk The Moon,kamikaze,kamikaze
All My Friends,The Revivalists,all my friends,all my friends
Gold Rush,Death Cab for Cutie,gold rush,gold rush
The Mountain,Three Days Grace,the mountain,the mountain
Walk On Water,Thirty Seconds To Mars,walk on water,walk on water
When The Curtain Falls,Greta Van Fleet,when the curtain falls,when the curtain falls
She's Kerosene,The Interrupters,she's kerosene,shes kerosene
Get Up,Shinedown,get up,get up
I Feel Like I’m Drowning,Two Feet,i feel like i’m drowning,i feel like i’m drowning
Saturday Sun,Vance Joy,saturday sun,saturday sun
Ghost,Badflower,ghost,ghost
Sham Pain,Five Finger Death Punch,sham pain,sham pain
Quarter Past Midnight,Bastille,quarter past midnight,quarter past midnight
Up All Night,Beck,up all night,up all night
New Light,John Mayer,new light,new light
Miracle,Chvrches,miracle,miracle
Hunger,Florence + The Machine,hunger,hunger
Red Cold River,Breaking Benjamin,red cold river,red cold river
Get Out,Chvrches,get out,get out
You're the One,Greta Van Fleet,you're the one,youre the one
Hear Me Now,Bad Wolves featuring DIAMANTE,hear me now,hear me now
Run For Cover,The Killers,run for cover,run for cover
Gone Away,Five Finger Death Punch,gone away,gone away
Good Kisser,Lake Street Dive,good kisser,good kisser
Handyman,AWOLnation,handyman,handyman
When Legends Rise,Godsmack,when legends rise,when legends rise
Body Talks,The Struts,body talks,body talks
Colors,Beck,colors,colors
Sober Up,AJR featuring Rivers Cuomo,sober up,sober up
Nevermind,Dennis Lloyd,nevermind,nevermind
Shotgun,George Ezra,shotgun,shotgun
House On Fire,Rise Against,house on fire,house on fire
Infra-Red,Three Days Grace,infra-red,infra-red
Mantra,Bring Me the Horizon,mantra,mantra
Rx (Medicate),Theory Of A Deadman,rx (medicate),rx
Right Left Wrong,Three Days Grace,right left wrong,right left wrong
Nina Cried Power,Hozier featuring Mavis Staples,nina cried power,nina cried power
World Gone Mad,Bastille,world gone mad,world gone mad
Nico And The Niners,twenty one pilots,nico and the niners,nico and the niners
The Gold,Manchester Orchestra,the gold,the gold
Happy Hour,Weezer,happy hour,happy hour
Four Out Of Five,Arctic Monkeys,four out of five,four out of five
Blood // Water,grandson,blood // water,blood // water
Lash Out,Alice Merton,lash out,lash out
Something Human,Muse,something human,something human
Dance Macabre,Ghost,dance macabre,dance macabre
Shame,Elle King,shame,shame
Do Your Worst,Rival Sons,do your worst,do your worst
I Only Lie When I Love You,Royal Blood,i only lie when i love you,i only lie when i love you
The Sky Is A Neighborhood,Foo Fighters,the sky is a neighborhood,the sky is a neighborhood
When the Seasons Change,Five Finger Death Punch,when the seasons change,when the seasons change
Pressure,Muse,pressure,pressure
Humility,Gorillaz featuring George Benson,humility,humility
Heroin,Badflower,heroin,heroin
Hold Me Tight Or Don't,Fall Out Boy,hold me tight or don't,hold me tight or dont
Uncomfortable,Halestorm,uncomfortable,uncomfortable
I Hope You're Happy,Blue October,i hope you're happy,i hope youre happy
Worst Nites,Foster the People,worst nites,worst nites
Shelter,Broken Bells,shelter,shelter
You’re Somebody Else,flora cash,you’re somebody else,you’re somebody else
Fever Pitch,Rainbow Kitten Surprise,fever pitch,fever pitch
Always Ascending,Franz Ferdinand,always ascending,always ascending
Scary Love,The Neighbourhood,scary love,scary love
Can't Deny Me,Pearl Jam,can't deny me,cant deny me
Bohemian Rhapsody,Queen,bohemian rhapsody,bohemian rhapsody
Torn in Two,Breaking Benjamin,torn in two,torn in two
One More Light,Linkin Park,one more light,one more light
"Hey Look Ma, I Made It",Panic! At The Disco,"hey look ma, i made it",hey look ma i made it
you should see me in a crown,Billie Eilish,you should see me in a crown,you should see me in a crown
High Hopes,Panic! At The Disco,high hopes,high hopes
Trampoline,Shaed,trampoline,trampoline
Bad Guy,Billie Eilish,bad guy,bad guy
"Hey Look Ma, I Made It",Panic! At The Disco,"hey look ma, i made it",hey look ma i made it
Everything I Wanted,Billie Eilish,everything i wanted,everything i wanted
Gloria,The Lumineers,gloria,gloria
Doin' Time,Lana Del Rey,doin' time,doin time
Bury a Friend,Billie Eilish,bury a friend,bury a friend
3 Nights,Dominic Fike,3 nights,3 nights
Natural,Imagine Dragons,natural,natural
Ready To Let Go,Cage the Elephant,ready to let go,ready to let go
Cringe,Matt Maeson,cringe,cringe
Chlorine,twenty one pilots,chlorine,chlorine
Lo/Hi,The Black Keys,lo/hi,lo/hi
Broken,lovelytheband,broken,broken
100 Bad Days,AJR,100 bad days,100 bad days
Orphans,Coldplay,orphans,orphans
Bad Liar,Imagine Dragons,bad liar,bad liar
Missed Connection,The Head and the Heart,missed connection,missed connection
Alligator,Of Monsters and Men,alligator,alligator
Blue on Black,Five Finger Death Punch,blue on black,blue on black
Social Cues,Cage the Elephant,social cues,social cues
Harmony Hall,Vampire Weekend,harmony hall,harmony hall
The Hype,twenty one pilots,the hype,the hype
Go,The Black Keys,go,go
16,Highly Suspect,16,16
Bohemian Rhapsody,Queen,bohemian rhapsody,bohemian rhapsody
Dissolve,Absofacto,dissolve,dissolve
When Am I Gonna Lose You,Local Natives,when am i gonna lose you,when am i gonna lose you
I Think I'm OKAY,Machine Gun Kelly featuring YUNGBLUD & Travis Barker,i think i'm okay,i think im okay
Superposition,Young The Giant,superposition,superposition
Good Things Fall Apart,Illenium featuring Jon Bellion,good things fall apart,good things fall apart
Longshot,Catfish and The Bottlemen,longshot,longshot
Hurt,Oliver Tree,hurt,hurt
Father Of All...,Green Day,father of all...,father of all
My Blood,twenty one pilots,my blood,my blood
11 Minutes,YUNGBLUD and Halsey featuring Travis Barker,11 minutes,11 minutes
Guiding Light,Mumford & Sons,guiding light,guiding light
Happier,Marshmello featuring Bastille,happier,happier
Under Your Scars,Godsmack,under your scars,under your scars
Unsainted,Slipknot,unsainted,unsainted
Joy,Bastille,joy,joy
Shotgun,George Ezra,shotgun,shotgun
BLOW,Ed Sheeran With Chris Stapleton & Bruno Mars,blow,blow
Panic Attack,The Glorious Sons,panic attack,panic attack
Last Day Under The Sun,Volbeat,last day under the sun,last day under the sun
Monsters,Shinedown,monsters,monsters
Remember When,Bad Wolves,remember when,remember when
99,Barns Courtney,99,99
Life In The City,The Lumineers,life in the city,life in the city
Pressure,Muse,pressure,pressure
Beloved,Mumford and Sons,beloved,beloved
Another One Bites The Dust,Queen,another one bites the dust,another one bites the dust
The End Of The Game,Weezer,the end of the game,the end of the game
Love It If We Made It,The 1975,love it if we made it,love it if we made it
Breaking Down,I Prevail,breaking down,breaking down
A Reason To Fight,Disturbed,a reason to fight,a reason to fight
This Life,Vampire Weekend,this life,this life
Inside Out,Five Finger Death Punch,inside out,inside out
Might Be Right,White Reaper,might be right,might be right
We Are The Champions,Queen,we are the champions,we are the champions
Hurricane,I Prevail,hurricane,hurricane
Somebody To Love,Queen,somebody to love,somebody to love
Borderline,Tame Impala,borderline,borderline
History of Violence,Theory of a Deadman,history of violence,history of violence
Home,morgxn featuring Walk The Moon,home,home
Radio Ga Ga,Queen,radio ga ga,radio ga ga
You'll Never Find Me,Korn,you'll never find me,youll never find me
Far Away,Breaking Benjamin,far away,far away
We Will Rock You,Queen,we will rock you,we will rock you
Why Did You Run?,Judah and The Lion,why did you run?,why did you run?
Dear Future Self (Hands Up),Fall Out Boy featuring Wyclef Jean,dear future self (hands up),dear future self
Die to Live,Volbeat,die to live,die to live
Help Me Stranger,The Raconteurs,help me stranger,help me stranger
Complainer,Cold War Kids,complainer,complainer
Blame It On My Youth,Blink-182,blame it on my youth,blame it on my youth
Under the Graveyard,Ozzy Osbourne,under the graveyard,under the graveyard
Still Feel,half•alive,still feel,still feel
Wars,Of Monsters and Men,wars,wars
Northern Lights,Death Cab For Cutie,northern lights,northern lights
Outnumbered,Dermot Kennedy,outnumbered,outnumbered
Running Up That Hill,Meg Myers,running up that hill,running up that hill
Don't Stop Me Now,Queen,don't stop me now,dont stop me now
Worst Nites,Foster The People,worst nites,worst nites
No More,Disturbed,no more,no more
You're Somebody Else,flora cash,you're somebody else,youre somebody else
Get Up,Shinedown,get up,get up
Van Horn,Saint Motel,van horn,van horn
Thunder,Shaed,thunder,thunder
Forgive Me Friend,Smith and Thell featuring Swedish Jam Factory,forgive me friend,forgive me friend
Saw Lightning,Beck,saw lightning,saw lightning
Almost (Sweet Music),Hozier,almost (sweet music),almost
When I'm Gone,Dirty Honey,when i'm gone,when im gone
You Had Your Soul with You,The National,you had your soul with you,you had your soul with you
Under Pressure,Queen & David Bowie,under pressure,under pressure
Come Around,Papa Roach,come around,come around
Blind Leading The Blind,Mumford and Sons,blind leading the blind,blind leading the blind
Exits,Foals,exits,exits
The Jester,Badflower,the jester,the jester
You’re Somebody Else,flora cash,you’re somebody else,you’re somebody else
Level Of Concern,twenty one pilots,level of concern,level of concern
Bang!,AJR,bang!,bang!
Mood,24kGoldn featuring iann Dior,mood,mood
Hallucinogenics,Matt Maeson,hallucinogenics,hallucinogenics
Come & Go,Juice WRLD featuring Marshmello,come & go,come & go
Monsters,All Time Low featuring blackbear,monsters,monsters
If You're Too Shy (Let Me Know),The 1975,if you're too shy (let me know),if youre too shy
Lost In Yesterday,Tame Impala,lost in yesterday,lost in yesterday
Oh Yeah!,Green Day,oh yeah!,oh yeah!
High Hopes,Panic! At The Disco,high hopes,high hopes
Caution,The Killers,caution,caution
Death Bed,Powfu featuring beabadoobee,death bed,death bed
Bloody Valentine,Machine Gun Kelly,bloody valentine,bloody valentine
The Hype,twenty one pilots,the hype,the hype
Honeybee,The Head and the Heart,honeybee,honeybee
Novocaine,The Unlikely Candidates,novocaine,novocaine
Running Up That Hill,Meg Myers,running up that hill,running up that hill
Hero,Weezer,hero,hero
Are You Bored Yet?,Wallows featuring Clairo,are you bored yet?,are you bored yet?
Bad Decisions,The Strokes,bad decisions,bad decisions
Might Be Right,White Reaper,might be right,might be right
Cardigan,Taylor Swift,cardigan,cardigan
Black Madonna,Cage The Elephant,black madonna,black madonna
Shame Shame,Foo Fighters,shame shame,shame shame
everything i wanted,Billie Eilish,everything i wanted,everything i wanted
Cradles,Sub Urban,cradles,cradles
Popular Monster,Falling in Reverse,popular monster,popular monster
Supalonely,BENEE featuring Gus Dapperton,supalonely,supalonely
Can I Call You Tonight?,Dayglow,can i call you tonight?,can i call you tonight?
"Hey Look Ma, I Made It",Panic! At The Disco,"hey look ma, i made it",hey look ma i made it
My Future,Billie Eilish,my future,my future
Your Love (Déjà Vu),Glass Animals,your love (déjà vu),your love
Moral Of The Story,Ashe,moral of the story,moral of the story
My Ex's Best Friend,Machine Gun Kelly featuring blackbear,my ex's best friend,my exs best friend
Unforgettable,Godsmack,unforgettable,unforgettable
Heat Waves,Glass Animals,heat waves,heat waves
Sober,Bad Wolves,sober,sober
My Own Soul's Warning,The Killers,my own soul's warning,my own souls warning
Deleter,Grouplove,deleter,deleter
A Little Bit Off,Five Finger Death Punch,a little bit off,a little bit off
Mariposa,Peach Tree Rascals,mariposa,mariposa
Dance Monkey,Tones and I,dance monkey,dance monkey
Life In The City,The Lumineers,life in the city,life in the city
Used To Like,Neon Trees,used to like,used to like
Dance Of The Clairvoyants,Pearl Jam,dance of the clairvoyants,dance of the clairvoyants
Exile,Taylor Swift featuring Bon Iver,exile,exile
The Adults Are Talking,The Strokes,the adults are talking,the adults are talking
Atlas Falls,Shinedown,atlas falls,atlas falls
loneliness for love,lovelytheband,loneliness for love,loneliness for love
City Of Angels,24kGoldn,city of angels,city of angels
Shine A Little Light,The Black Keys,shine a little light,shine a little light
Me & You Together Song,The 1975,me & you together song,me & you together song
Orphans,Coldplay,orphans,orphans
The Best,AWOLNATION,the best,the best
High Low,The Unlikely Candidates,high low,high low
Dreams,Fleetwood Mac,dreams,dreams
Living the Dream,Five Finger Death Punch,living the dream,living the dream
Death by Rock and Roll,The Pretty Reckless,death by rock and roll,death by rock and roll
Break My Baby,Kaleo,break my baby,break my baby
Hell N Back,Bakar,hell n back,hell n back
Uneventful Days,Beck,uneventful days,uneventful days
Man Of The Year,Juice WRLD,man of the year,man of the year
Sofia,Clairo,sofia,sofia
Can You Hear Me,Korn,can you hear me,can you hear me
Overwhelmed,Royal and The Serpent,overwhelmed,overwhelmed
My Tears Ricochet,Taylor Swift,my tears ricochet,my tears ricochet
I Got You,Michael Franti & Spearhead,i got you,i got you
August,Taylor Swift,august,august
16,Highly Suspect,16,16
Who’s Gonna Love Me Now,Cold War Kids,who’s gonna love me now,who’s gonna love me now
I Really Wish I Hated You,Blink-182,i really wish i hated you,i really wish i hated you
